,Player,Min,PTS,LBR,Stl,TO,STPS,PPA,PP,VIO,GTID,WIN,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,Layup_mk,Layup_att,Layup_pct,Slam_mk,Slam_att,Slam_pct,Team,Pos,AST,HITS,PPFG
43,#3 Cameron Hollins,14.246575342465754,18.653809625753127,-3.0770405537051015,0,-1.6868562242414824,-0.1376444638875009,0,0,0,47,1,0,0,0.0,1,1,1.0,10,13,0.7692307692307693,0,0,0.0,0,0,0.0,0,0,0.0,10,13,0.7692307692307693,1,1,1.0,9,12,0.75,Mob,G,-0.2265378726395527,-1.3063378012396294,13.478574859874142
44,#3 Cameron Hollins,13.164556962025316,2.4395962364554205,1.2326080959433874,0,-1.4827911945522558,1.8728095460280054,0,0,0,49,1,0,0,0.0,0,0,0.0,5,7,0.7142857142857143,1,1,1.0,0,0,0.0,0,0,0.0,4,6,0.6666666666666666,2,2,1.0,2,4,0.5,Mob,G,-1.1333830975023713,-1.2071222720315562,5.655608957315886
45,#3 Cameron Hollins,13.82716049382716,4.958398326229529,-0.9570137187907064,1,-1.6077559935183237,1.8664077473000704,0,2,2,52,1,0,1,0.0,1,1,1.0,5,8,0.625,0,0,0.0,0,0,0.0,0,0,0.0,5,8,0.625,0,0,0.0,5,8,0.625,Mob,G,-1.1904289704060995,-1.2678796133588806,8.162491459440998
46,#3 Cameron Hollins,16.585365853658537,-0.04467378465325723,-0.7463483369118491,1,-2.127944253549418,-0.160240881505055,0,4,2,62,1,0,0,0.0,0,0,0.0,4,6,0.6666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,4,6,0.6666666666666666,0,0,0.0,4,6,0.6666666666666666,Mob,G,-0.4278925890672466,2.479207118819531,11.863894372517645
47,#3 Cameron Hollins,13.658536585365855,4.080856883226729,-1.9087574539274057,0,0.4240459088416553,-0.1319630788865159,0,0,0,64,1,0,0,0.0,0,0,0.0,5,9,0.5555555555555556,0,0,0.0,0,0,0.0,0,0,0.0,5,9,0.5555555555555556,1,3,0.3333333333333333,4,6,0.6666666666666666,Mob,G,-1.1759115439377326,-1.2524176668545042,3.6998052492310145
48,#3 Cameron Hollins,10.864197530864196,1.1101701134660589,-1.109082207621269,0,-1.0489511377643972,-0.10496534140708758,0,0,2,72,1,2,2,1.0,0,0,0.0,3,9,0.3333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,3,9,0.3333333333333333,0,1,0.0,3,8,0.375,Mob,G,-0.935337048176221,0.0038088752180225143,-3.0927866928025303
49,#3 Cameron Hollins,13.82716049382716,3.9583983262295277,3.042986281209293,0,1.3922440064816763,-0.13359225269992964,0,0,1,77,1,0,1,0.0,0,0,0.0,5,8,0.625,0,0,0.0,0,0,0.0,0,0,0.0,5,8,0.625,1,2,0.5,4,6,0.6666666666666666,Mob,G,-1.1904289704060995,0.7321203866411196,6.4340963977126036
50,#3 Cameron Hollins,8.571428571428571,19.775231615494324,0.5470552712598429,1,-0.6165426184310018,-0.08281356481143598,0,0,1,86,1,0,1,0.0,1,1,1.0,9,9,1.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.0,1,1,1.0,8,8,1.0,Mob,G,-0.7379444893078627,0.21404401518824495,13.75038798803783
51,#3 Cameron Hollins,1.0,2.273777021807671,-0.286176885019685,0,0.8114033611830498,-0.009661582561334198,0,0,0,88,1,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,Mob,G,-0.08609352375258399,-0.09169486489470476,1.715323043048858
52,#3 Cameron Hollins,0.0,0.0,0.0,0,0.0,0.0,0,0,0,103,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,Mob,G,0.0,0.0,0.0
