,Player,Team,Pos,PTS,GP,MIN,AST,LBR,STL,TO,STPS,HITS,PPA,PP,VIO,DFO_mk,DFO_att,DFO_pct,OFO_mk,OFO_att,OFO_pct,FG_mk,FG_att,FG_pct,2PT_mk,2PT_att,2PT_pct,3PT_mk,3PT_att,3PT_pct,4PT_mk,4PT_att,4PT_pct,RA_mk,RA_att,RA_pct,LAYUP_mk,LAYUP_att,LAYUP_pct,SLAM_mk,SLAM_att,SLAM_pct,PPFG,Prediction
26,#77 Justin Holloway,Mob,G,-3.92661477891827,18,137,1.7295450936443668,0.6043852319347583,9,0.4839376194444735,-0.11740657289722571,1.008361721908735,16,10,15,0,9,0.0,1,5,0.2,25,62,0.4032258064516129,5,16,0.3125,1,2,0.5,0,2,0.0,19,42,0.4523809523809524,10,28,0.35714285714285715,9,14,0.6428571428571429,-3.8513622861845596,7
28,#91 Jordan Jones,Mob,G,-0.21027670621556463,2,4,0.8429661195891078,1.0186746537273843,0,0.24294788506598855,-0.056555605237078234,0.8101777811962059,0,4,2,0,0,0.0,0,0,0.0,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0.0,1,4,0.25,0,2,0.0,1,2,0.5,-3.129816333372539,2
29,#25 Brandon Simpson,Mob,G,-0.542304035848568,18,187,0.8430839372653948,-0.308708305565473,6,-0.48911289361494326,-0.041616459946051496,0.4049488984899486,4,6,10,1,6,0.16666666666666666,2,2,1.0,48,91,0.5274725274725275,0,1,0.0,0,0,0.0,0,1,0.0,48,89,0.5393258426966292,9,24,0.375,39,65,0.6,1.7459080381347063,7
33,#20 Donavin Byrd,Ozone,G,-13.798236585654246,4,16,-1.6357769512990958,-2.158432454524959,0,-2.4903600172390354,-0.18357006866534975,0.4437498075666472,0,0,0,0,0,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,-24.408862182071697,3
34,#5 LaQuavius Cotton,Ozone,G,-4.7144911763003625,10,141,0.9055544677949559,-2.001017827300329,1,0.17268185882697343,-0.23065111384518466,0.4601634010721653,14,4,8,1,6,0.16666666666666666,7,11,0.6363636363636364,28,63,0.4444444444444444,1,1,1.0,0,0,0.0,1,11,0.09090909090909091,26,51,0.5098039215686274,3,17,0.17647058823529413,23,34,0.6764705882352942,0.02476416602806725,7
35,#6 Marcus Gray,Ozone,G,-1.8860180156729223,10,106,0.46039815278447055,3.2896279097412044,9,0.3402564746049378,-0.01681951605367317,-0.53134784180021,4,10,15,5,10,0.5,3,5,0.6,27,62,0.43548387096774194,0,1,0.0,0,0,0.0,0,2,0.0,27,59,0.4576271186440678,10,29,0.3448275862068966,17,30,0.5666666666666667,-2.398011854130519,5
40,#24 Victorious Dean,Rumble,G,-3.4200386959202596,9,69,0.44780799840186186,0.2719573113721815,2,0.15152337746274827,0.22439611850174737,1.0775473648191713,0,8,8,1,4,0.25,3,4,0.75,12,41,0.2926829268292683,0,1,0.0,0,4,0.0,2,19,0.10526315789473684,10,17,0.5882352941176471,3,9,0.3333333333333333,7,8,0.875,-5.683759389438807,1
42,#1 Kaylon Tippins-Hill,Rumble,G,6.979196392240055,9,127,-0.09933127794903483,0.2837560353993061,5,0.44915699013814653,0.07531824131338699,1.28164942835242,6,6,5,2,2,1.0,2,2,1.0,57,121,0.47107438016528924,0,0,0.0,1,5,0.2,0,4,0.0,56,112,0.5,9,35,0.2571428571428571,47,77,0.6103896103896104,0.8441457390462782,6
43,#11 Richard Washington,Rumble,G,-2.571485836018114,9,113,1.0942694522048537,-0.2477084677118315,5,-1.062291096850398,-0.021604097645280585,-0.6100956037863076,0,6,5,1,2,0.5,0,0,0.0,22,76,0.2894736842105263,1,3,0.3333333333333333,3,12,0.25,5,37,0.13513513513513514,13,24,0.5416666666666666,3,11,0.2727272727272727,10,13,0.7692307692307693,-5.742766163918217,1
47,#0 Naradain James,Slashers,G,-4.890611133340229,12,140,-0.008573762069347774,-1.7536723181703877,1,0.20769754252780342,-0.1319630788865159,-0.6238511689253738,6,0,2,0,2,0.0,0,2,0.0,20,45,0.4444444444444444,0,2,0.0,0,0,0.0,0,1,0.0,20,42,0.47619047619047616,4,18,0.2222222222222222,16,24,0.6666666666666666,-0.5495172439939181,7
50,#9 Bradley Laubacher,Slashers,G,-1.622763667524543,16,240,0.31394230314496735,0.5712297995617295,12,-0.23594120333666233,-0.04994210254728504,-0.09565527726458531,2,4,14,3,11,0.2727272727272727,6,8,0.75,51,79,0.6455696202531646,0,1,0.0,1,4,0.25,0,0,0.0,50,74,0.6756756756756757,13,28,0.4642857142857143,37,46,0.8043478260869565,4.1783566438545865,7
51,#2 Alonzo Scott Jr.,Slashers,G,0.05144199002480376,16,187,-0.06148387285963676,-0.06961195716174942,5,-0.04586066363785629,-0.009661582561334198,-0.062163283823168075,8,6,13,1,10,0.1,3,3,1.0,57,103,0.5533980582524272,0,2,0.0,0,1,0.0,0,1,0.0,57,99,0.5757575757575758,13,31,0.41935483870967744,44,68,0.6470588235294118,0.2493036255731298,7
56,#0 Steven Julian III,Wrath,G,-2.5512490119839257,8,109,-0.19883836211305156,0.815634448163581,9,0.16582259465964852,-0.008971326803712302,-0.05345355747874339,8,0,2,2,2,1.0,0,4,0.0,18,41,0.43902439024390244,1,5,0.2,0,0,0.0,0,2,0.0,17,34,0.5,8,18,0.4444444444444444,9,16,0.5625,-1.3787493361996852,7
58,#21 Ty McGee,Wrath,G,5.684205968414309,10,177,0.3859921713887524,0.181304874248121,3,0.35343820395275466,-0.08493698955019076,0.10817794904385843,18,8,10,4,6,0.6666666666666666,11,19,0.5789473684210527,95,158,0.6012658227848101,2,3,0.6666666666666666,0,1,0.0,0,6,0.0,93,148,0.6283783783783784,19,51,0.37254901960784315,74,97,0.7628865979381443,3.395245002182199,8
59,#72 Nicholas Parks,Wrath,G,-2.505399525999039,11,118,-0.8056400887179134,-0.7745904132908952,1,-0.5508170846748714,0.15701075912360712,-0.6022265705175815,3,4,4,0,2,0.0,2,4,0.5,26,68,0.38235294117647056,0,0,0.0,0,1,0.0,0,1,0.0,26,66,0.3939393939393939,13,21,0.6190476190476191,13,45,0.28888888888888886,-3.757652617256748,4
4,#0 Terrell Howard,Buzzsaw,H,0.0,16,198,0.0,0.0,8,0.0,0.0,0.0,16,6,9,1,6,0.16666666666666666,3,8,0.375,36,86,0.4186046511627907,0,7,0.0,0,3,0.0,2,17,0.11764705882352941,34,59,0.576271186440678,16,35,0.45714285714285713,18,24,0.75,0.0,7
5,#12 Devonte Pratt,Buzzsaw,H,0.0,12,97,0.0,0.0,2,0.0,0.0,0.0,11,4,7,2,5,0.4,3,6,0.5,17,51,0.3333333333333333,0,0,0.0,0,0,0.0,1,9,0.1111111111111111,16,42,0.38095238095238093,6,16,0.375,10,26,0.38461538461538464,0.0,4
7,#2 Raymond Taylor,Buzzsaw,H,0.0,14,98,0.0,0.0,12,0.0,0.0,0.0,8,4,6,2,4,0.5,1,2,0.5,15,44,0.3409090909090909,1,2,0.5,0,2,0.0,0,3,0.0,14,37,0.3783783783783784,4,15,0.26666666666666666,10,22,0.45454545454545453,0.0,6
9,#22 Jordan Grant,Gryphons,H,0.0,13,94,0.0,0.0,6,0.0,0.0,0.0,8,12,12,3,6,0.5,1,4,0.25,11,34,0.3235294117647059,0,0,0.0,0,0,0.0,0,5,0.0,11,29,0.3793103448275862,3,11,0.2727272727272727,8,18,0.4444444444444444,0.0,4
13,#5 Deshawn Kelly,Gryphons,H,0.0,13,106,0.0,0.0,7,0.0,0.0,0.0,6,9,10,2,6,0.3333333333333333,0,3,0.0,10,32,0.3125,0,1,0.0,0,1,0.0,0,9,0.0,10,21,0.47619047619047616,2,5,0.4,8,16,0.5,0.0,6
14,#13 Adam Stanford,Gryphons,H,0.0,13,116,0.0,0.0,1,0.0,0.0,0.0,18,11,11,3,7,0.42857142857142855,8,9,0.8888888888888888,31,63,0.49206349206349204,0,1,0.0,2,7,0.2857142857142857,0,3,0.0,29,52,0.5576923076923077,4,11,0.36363636363636365,25,41,0.6097560975609756,0.0,7
16,#44 Nathaniel Harris,Lava,H,0.0,12,105,0.0,0.0,6,0.0,0.0,0.0,4,6,4,1,1,1.0,2,2,1.0,18,50,0.36,1,1,1.0,2,9,0.2222222222222222,2,14,0.14285714285714285,13,26,0.5,5,14,0.35714285714285715,8,12,0.6666666666666666,0.0,4
17,#14 Paxton Henry,Lava,H,0.0,12,111,0.0,0.0,1,0.0,0.0,0.0,6,4,7,1,5,0.2,2,4,0.5,17,42,0.40476190476190477,0,4,0.0,3,10,0.3,4,10,0.4,10,18,0.5555555555555556,0,4,0.0,10,14,0.7142857142857143,0.0,4
19,#23 Bryce Moragne,Lava,H,0.0,10,89,0.0,0.0,5,0.0,0.0,0.0,9,2,5,1,4,0.25,6,7,0.8571428571428571,38,62,0.6129032258064516,0,2,0.0,1,1,1.0,0,3,0.0,37,56,0.6607142857142857,3,14,0.21428571428571427,34,42,0.8095238095238095,0.0,8
27,#4 Cameron Horton,Mob,H,0.0,18,240,0.0,0.0,5,0.0,0.0,0.0,16,4,6,0,2,0.0,10,13,0.7692307692307693,62,113,0.5486725663716814,4,19,0.21052631578947367,0,1,0.0,1,6,0.16666666666666666,57,87,0.6551724137931034,8,16,0.5,49,71,0.6901408450704225,0.0,7
31,#9 Bryan Bell-Anderson,Ozone,H,0.0,10,100,0.0,0.0,2,0.0,0.0,0.0,16,6,4,1,1,1.0,4,6,0.6666666666666666,37,72,0.5138888888888888,0,0,0.0,0,0,0.0,0,0,0.0,37,72,0.5138888888888888,4,18,0.2222222222222222,33,54,0.6111111111111112,0.0,8
